;Unnamed: 0;municipio;codigo;area_territorial;populacao_estimada;densidade_demografica;escolarizacao;idhm;mortalidade_infantil;pib_per_capita;uf;receitas_realizadas;despesas_empenhadas;saldo_receitas_despesas;cidade;estado;longitude;latitude;altitude;unidades;unidades_urbanas;unidades_rurais;area_plantada;producao_graos;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;tipo_rural_urbano;GVA_agropecuaria;GVA_industria;GVA_Servicos;GVA_publico;GDP;GDP_populacao;GDP_per_capita;estabelecimentos;carros;motos
48;48;Capinzal do Norte;2102754;590,529;10935;18,12;94,1;0,537;;12253,01;MA;36764,39483;40932,51471;-4168,11988;Capinzal do Norte;MA;-44.33043625;-4.721245389;127.03;2884;1589;1295;1721;4576;0.517;0.698;0.43;Rural Adjacente;19806.56;21741.34;29568.4;34.17;112838.29;10716;10529.89;65;329;1893
49;49;Carolina;2102804;6441,603;24165;3,72;95,1;0,634;;12985,61;MA;55770,50783;56206,17168;-435,66385;Carolina;MA;-47.4700918;-7.330783005;179.76;6293;4412;1881;49282;99186;0.6;0.802;0.529;Intermediário Adjacente;44532.24;11.97;94080.8;76690.43;242285.6;23833;10165.97;377;1020;4613
50;50;Carutapera;2102903;1260,977;23952;17,86;98,2;0,574;;6608,6;MA;44061,41396;40840,45212;3220,96184;Carutapera;MA;-46.02315083;-1.200602;8.89;5083;3777;1306;2951;14835;0.533;0.747;0.476;Urbano;23472.92;6941.7;51961.71;73173.65;163138.63;23404;6970.54;101;200;1717
51;51;Caxias;2103000;5196,769;165525;30,12;95,2;0,624;;10538,06;MA;371848,2565;347300,2731;24547,98341;Caxias;MA;-43.35853943;-4.86167499;77.46;40219;30827;9392;10842;46381;0.595;0.753;0.543;Urbano;38315.67;171987.57;790026.83;506316.56;1664061.2;161926;10276.68;1608;9296;40564
52;52;Cedral;2103109;281,252;10693;36,36;97,9;0,605;;6091,66;MA;21501,75128;21719,71728;-217,966;Cedral;MA;-44.53078953;-1.997915926;19.66;2596;596;2000;695;1799;0.52;0.748;0.57;Rural Adjacente;13396.88;1936.17;11842.81;28333.15;57018.23;10473;5444.31;48;118;764
53;53;Central do Maranhão;2103125;319,053;8740;24,7;97,8;0,585;;5087,89;MA;19934,00164;17037,55058;2896,45106;Central do Maranhão;MA;-44.8318437;-2.191313908;34.52;1987;1029;958;705;1387;0.503;0.713;0.557;Rural Adjacente;5.05;1726.68;8989.45;26443.91;43330;8534;5077.34;27;74;428
54;54;Centro do Guilherme;2103158;1167,848;13670;11,7;91,6;0,542;;5257,07;MA;30426,32797;31724,49318;-1298,16521;Centro do Guilherme;MA;-46.03996011;-2.456985082;50.33;2587;1452;1135;2874;8071;0.51;0.707;0.442;Rural Adjacente;15799.79;2255.69;16234.63;33686.02;70.56;13295;5307.2;45;147;742
55;55;Centro Novo do Maranhão;2103174;8401,414;21840;2,13;87,7;0,518;;6545,61;MA;42789,436;41164,91368;1624,52232;Centro Novo do Maranhão;MA;-46.12840895;-2.144291699;86.06;3736;1342;2394;3137;8042;0.508;0.717;0.382;Rural Adjacente;33.43;4804.51;36346.73;63484.22;144035.66;21300;6762.24;71;274;1249
56;56;Chapadinha;2103208;3247,384;80195;22,59;92,6;0,604;;8332,67;MA;131667,5527;129217,8317;2449,72099;Chapadinha;MA;-43.36112078;-3.74002452;105.7;17658;12994;4664;7783;20499;0.554;0.77;0.517;Urbano;33831.18;37044.33;308318.8;229835.53;655450.01;78348;8365.88;882;3167;16307
57;57;Cidelândia;2103257;1464,034;14777;9,34;98,9;0,6;;8843,71;MA;35348,34819;47565,29284;-12216,94465;Cidelândia;MA;-47.78423278;-5.177421047;177.81;3524;1533;1991;606;1758;0.562;0.728;0.529;Rural Adjacente;36311.69;6.41;36.45;46437.61;133738.66;14446;9257.83;65;516;2393
